estimate_sex_and_age_total_population,estimate_sex_and_age_total_population_male,estimate_sex_and_age_total_population_female,estimate_sex_and_age_under_5_years,estimate_sex_and_age_5_to_9_years,estimate_sex_and_age_10_to_14_years,estimate_sex_and_age_15_to_19_years,estimate_sex_and_age_20_to_24_years,estimate_sex_and_age_25_to_34_years,estimate_sex_and_age_35_to_44_years,estimate_sex_and_age_45_to_54_years,estimate_sex_and_age_55_to_59_years,estimate_sex_and_age_60_to_64_years,estimate_sex_and_age_65_to_74_years,estimate_sex_and_age_75_to_84_years,estimate_sex_and_age_85_years_and_over,estimate_sex_and_age_median_age_(years),estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_21_years_and_over,estimate_sex_and_age_62_years_and_over,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_18_years_and_over_male,estimate_sex_and_age_18_years_and_over_female,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_65_years_and_over_male,estimate_sex_and_age_65_years_and_over_female,estimate_race_total_population,estimate_race_total_population_one_race,estimate_race_total_population_two_or_more_races,estimate_race_one_race,estimate_race_one_race_white,estimate_race_one_race_black_or_african_american,estimate_race_one_race_american_indian_and_alaska_native,estimate_race_one_race_american_indian_and_alaska_native_cherokee_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_chippewa_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_navajo_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_sioux_tribal_grouping,estimate_race_one_race_asian,estimate_race_one_race_asian_asian_indian,estimate_race_one_race_asian_chinese,estimate_race_one_race_asian_filipino,estimate_race_one_race_asian_japanese,estimate_race_one_race_asian_korean,estimate_race_one_race_asian_vietnamese,estimate_race_one_race_asian_other_asian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_native_hawaiian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_guamanian_or_chamorro,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_samoan,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_other_pacific_islander,estimate_race_one_race_some_other_race,estimate_race_two_or_more_races,estimate_race_two_or_more_races_white_and_black_or_african_american,estimate_race_two_or_more_races_white_and_american_indian_and_alaska_native,estimate_race_two_or_more_races_white_and_asian,estimate_race_two_or_more_races_black_or_african_american_and_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_white,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_black_or_african_american,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_asian,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_native_hawaiian_and_other_pacific_islander,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_some_other_race,estimate_hispanic_or_latino_and_race_total_population,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race),estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_mexican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_puerto_rican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_cuban,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_other_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_white_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_black_or_african_american_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_american_indian_and_alaska_native_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_asian_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_native_hawaiian_and_other_pacific_islander_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_some_other_race_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_including_some_other_race,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races,estimate_total_housing_units,estimate_citizen_voting_age_population_citizen_18_and_over_population,estimate_citizen_voting_age_population_citizen_18_and_over_population_male,estimate_citizen_voting_age_population_citizen_18_and_over_population_female,geography,geographic_area_name,Year,fips
90017,40903,49114,6022,4742,7809,6246,7949,12009,11267,9482,5758,5799,7569,3986,1379,35.2,67559,63480,16676,12934,67559,29922,37637,12934,5290,7644,90017,88402,1615,88402,24254,62375,258,N,N,N,N,799,N,N,N,N,N,N,N,50,N,N,N,N,666,1615,N,N,N,N,90017,25523,63351,N,1306,N,692,90017,2415,N,N,N,N,87602,23008,62322,258,799,0,23,1192,26,1166,40715,67096,29710,37386,0500000US13095,"Dougherty County, Georgia",2016,13095
142224,68772,73452,8699,11032,10783,9989,10005,18274,18946,22215,8370,7987,11296,3917,711,36.0,105036,98993,20412,15924,105036,49281,55755,15924,7128,8796,142224,139864,2360,139864,67268,67469,73,N,N,N,N,2242,N,N,N,N,N,N,N,0,N,N,N,N,2812,2360,408,312,283,409,142224,68715,68945,931,2891,N,3257,142224,13414,9470,707,796,2441,128810,59768,64907,73,2242,0,42,1778,0,1778,52194,98862,46049,52813,0500000US13097,"Douglas County, Georgia",2016,13097
111627,53888,57739,4913,6527,8929,9031,5886,10437,12845,17292,9659,6750,12216,4904,2238,43.3,85604,80548,22387,19358,85604,40612,44992,19358,8678,10680,111627,108014,3613,108014,76827,23905,217,N,N,N,N,4945,N,N,N,N,N,N,N,0,N,N,N,N,2120,3613,N,N,N,N,111627,79657,25521,1181,6543,N,2817,111627,7979,3351,630,439,3559,103648,70797,23763,83,4769,0,1588,2648,244,2404,42115,80611,38441,42170,0500000US13113,"Fayette County, Georgia",2016,13113
96560,47010,49550,5280,5082,7410,7815,7191,11725,12303,12276,6921,5000,9056,5042,1459,38.7,74125,69868,18304,15557,74125,35206,38919,15557,6794,8763,96560,94412,2148,94412,74482,13603,14,N,N,N,N,1623,N,N,N,N,N,N,N,0,N,N,N,N,4690,2148,N,N,N,N,96560,76630,15125,N,1623,N,4836,96560,10449,N,N,N,N,86111,67986,13603,14,1623,0,1230,1655,12,1643,40416,68172,32326,35846,0500000US13115,"Floyd County, Georgia",2016,13115
221009,109708,111301,13565,17054,20185,16050,11356,20465,35920,36991,12925,9840,16690,7410,2558,38.7,158991,151469,32071,26658,158991,77761,81230,26658,11902,14756,221009,216467,4542,216467,179397,7490,387,N,N,N,N,25847,14541,4342,739,174,3247,783,2021,0,N,N,N,N,3346,4542,1543,803,968,0,221009,183031,9494,1276,27723,N,3879,221009,20614,12083,2148,1188,5195,200395,162933,7293,246,25775,0,136,4012,533,3479,77451,139318,67689,71629,0500000US13117,"Forsyth County, Georgia",2016,13117
1023336,495020,528316,63312,64360,64481,69053,74393,168838,148098,144027,64603,48858,69420,30855,13038,35.4,791710,747514,139497,113313,791710,377883,413827,113313,47210,66103,1023336,992806,30530,992806,455532,447187,9001,N,N,N,N,68259,34929,12712,2067,1735,8541,3006,5269,879,N,N,N,N,11948,30530,8563,2319,7285,1432,1023336,479252,464794,16503,79197,2826,16686,1023336,74853,43449,7375,3592,20437,948483,408990,442347,1850,68047,746,2387,24116,2100,22016,464517,716846,339221,377625,0500000US13121,"Fulton County, Georgia",2016,13121
84502,39690,44812,4917,6402,4988,5223,4788,10792,8506,12043,6877,4742,9248,4438,1538,41.0,65060,61680,18361,15224,65060,29857,35203,15224,6636,8588,84502,82187,2315,82187,58096,21354,317,N,N,N,N,1114,N,N,N,N,N,N,N,211,N,N,N,N,1095,2315,N,N,N,N,84502,59367,22846,1486,1496,N,1503,84502,5811,N,N,N,N,78691,53617,21109,317,1114,211,353,1970,91,1879,42429,61688,28651,33037,0500000US13127,"Glynn County, Georgia",2016,13127
907135,443379,463756,61078,66573,76760,67898,59745,119222,134241,136033,57091,43791,54636,22708,7359,35.2,657829,623154,107504,84703,657829,316597,341232,84703,36838,47865,907135,880357,26778,880357,438099,248723,1346,N,N,N,N,103900,23496,11798,2149,2076,23943,20100,20338,82,N,N,N,N,88207,26778,5180,3292,6798,1801,907135,458063,260878,7528,114422,862,94530,907135,189050,80824,16636,4744,86846,718085,345977,240970,535,103900,82,6174,20447,1141,19306,305452,541222,254635,286587,0500000US13135,"Gwinnett County, Georgia",2016,13135
196637,97493,99144,13247,14260,14775,14085,12873,24652,25742,27059,10810,10995,17166,8902,2071,36.5,145552,138093,34385,28139,145552,71335,74217,28139,12443,15696,196637,192093,4544,192093,168678,14687,412,N,N,N,N,3451,N,N,N,N,N,N,N,99,N,N,N,N,4766,4544,1080,1455,766,164,196637,172772,16000,2267,4244,N,5643,196637,55075,43128,1530,591,9826,141562,120573,14602,131,3451,0,54,2751,0,2751,70956,120684,57829,62855,0500000US13139,"Hall County, Georgia",2016,13139
221768,106026,115742,12561,15854,18233,17750,13773,28378,30511,34709,13882,12171,15691,6275,1980,36.5,163293,155266,30329,23946,163293,75678,87615,23946,10581,13365,221768,215903,5865,215903,110602,94657,0,N,N,N,N,7935,N,N,N,N,N,N,N,0,N,N,N,N,2709,5865,2463,307,287,204,221768,115392,98876,878,9706,N,3669,221768,14596,N,N,N,N,207172,99920,93670,0,7935,0,835,4812,0,4812,79628,155930,71789,84141,0500000US13151,"Henry County, Georgia",2016,13151
152122,74525,77597,10332,11634,10670,10039,8671,23106,20657,19871,9272,8648,11192,5823,2207,35.4,112967,106430,22860,19222,112967,54359,58608,19222,8527,10695,152122,145730,6392,145730,93711,45011,622,N,N,N,N,4623,N,N,N,N,N,N,N,0,N,N,N,N,1763,6392,3396,130,881,0,152122,99596,49083,852,5887,N,3265,152122,10061,4829,1518,255,3459,142061,86992,44937,529,4623,0,53,4927,37,4890,61896,109343,52534,56809,0500000US13153,"Houston County, Georgia",2016,13153
62570,32287,30283,6133,3872,5351,3876,7981,11165,7265,6019,2711,2927,3329,1519,422,27.2,44983,42244,6455,5270,44983,23105,21878,5270,2218,3052,62570,58300,4270,58300,29415,25722,295,N,N,N,N,940,N,N,N,N,N,N,N,12,N,N,N,N,1916,4270,1687,206,734,162,62570,32888,28525,921,2096,N,2903,62570,7709,2454,2761,26,2468,54861,24903,25316,295,906,12,91,3338,405,2933,27578,43688,22743,20945,0500000US13179,"Liberty County, Georgia",2016,13179
114628,56100,58528,7922,8358,6768,8030,16084,17617,12975,12053,6140,5161,8064,3532,1924,30.5,87201,81207,16296,13520,87201,41974,45227,13520,5818,7702,114628,113053,1575,113053,67078,44310,256,N,N,N,N,418,N,N,N,N,N,N,N,113,N,N,N,N,878,1575,211,212,99,48,114628,68361,44647,733,818,N,1188,114628,6426,N,N,N,N,108202,61957,44010,256,418,113,183,1265,0,1265,46389,85355,41025,44330,0500000US13185,"Lowndes County, Georgia",2016,13185
197485,96919,100566,14638,13010,13621,14364,13981,32339,24685,22770,12490,10470,14360,7639,3118,33.7,148868,138901,31096,25117,148868,72264,76604,25117,10088,15029,197485,186566,10919,186566,86603,90127,1159,N,N,N,N,4160,1193,272,650,243,1070,0,732,0,N,N,N,N,4517,10919,3623,256,2529,90,197485,95676,95719,2116,7447,N,7898,197485,14975,7386,4352,506,2731,182510,81032,88964,1039,4160,0,247,7068,249,6819,84741,144744,70091,74653,0500000US13215,"Muscogee County, Georgia",2016,13215
106999,49949,57050,7378,8201,7984,9289,6986,11546,14411,15156,7381,5379,8292,2868,2128,36.0,78470,73034,16267,13288,78470,36528,41942,13288,5766,7522,106999,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,106999,55686,50973,N,823,N,N,106999,5701,N,N,N,N,101298,N,N,N,N,N,N,N,N,N,38668,74053,33829,40224,0500000US13217,"Newton County, Georgia",2016,13217
155825,75737,80088,9998,11083,13432,11541,11221,17815,23577,24637,8474,7192,11047,4794,1014,36.4,113791,107228,21303,16855,113791,54234,59557,16855,7467,9388,155825,153113,2712,153113,115718,34362,301,N,N,N,N,533,N,N,N,N,N,N,N,401,N,N,N,N,1798,2712,N,N,N,N,155825,118171,36074,987,1050,N,2137,155825,9474,N,N,N,N,146351,112433,30252,301,447,401,144,2373,0,2373,54837,110502,52592,57910,0500000US13223,"Paulding County, Georgia",2016,13223
201647,97382,104265,13800,14352,11328,13761,16817,33335,22988,23068,12162,13154,16287,7926,2669,34.0,154772,144630,34387,26882,154772,73641,81131,26882,10926,15956,201647,198934,2713,198934,76547,114495,584,N,N,N,N,4084,891,1277,256,13,959,207,481,848,N,N,N,N,2376,2713,932,429,983,79,201647,79060,115601,1145,5109,N,2571,201647,9874,3839,3757,323,1955,191773,70757,112854,584,4024,848,676,2030,195,1835,88171,151600,72162,79438,0500000US13245,"Richmond County, Georgia",2016,13245
89355,42098,47257,4988,6723,6223,7129,5509,9419,11906,13617,4877,6747,8211,2855,1151,38.4,66787,63814,15763,12217,66787,30704,36083,12217,5490,6727,89355,88389,966,88389,36218,48429,0,N,N,N,N,1798,N,N,N,N,N,N,N,0,N,N,N,N,1944,966,N,N,N,N,89355,36703,49010,N,2074,N,N,89355,9178,N,N,N,N,80177,29718,47646,0,1798,0,49,966,115,851,33467,65426,30125,35301,0500000US13247,"Rockdale County, Georgia",2016,13247
70005,34260,35745,4597,4937,5112,4701,5243,9166,8510,9167,5164,3568,6237,2615,988,36.4,52480,49596,12062,9840,52480,24656,27824,9840,4163,5677,70005,68641,1364,68641,41740,25277,45,N,N,N,N,1423,N,N,N,N,N,N,N,0,N,N,N,N,156,1364,N,N,N,N,70005,42634,26327,N,1599,N,658,70005,2554,N,N,N,N,67451,39886,25235,45,1423,0,0,862,0,862,28358,49620,23135,26485,0500000US13285,"Troup County, Georgia",2016,13285
67896,34263,33633,4322,4124,4107,4681,2996,8225,8722,9550,5082,4210,7052,3595,1230,41.4,52588,49945,14089,11877,52588,25828,26760,11877,5194,6683,67896,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,67896,63876,2823,493,1627,N,N,67896,1447,N,N,N,N,66449,61906,2231,0,1221,0,0,1091,406,685,30126,51134,24952,26182,0500000US13295,"Walker County, Georgia",2016,13295
90184,44482,45702,5315,6339,6339,7838,6349,9568,11597,12601,6183,4612,8525,4029,889,38.3,67408,63400,16197,13443,67408,32548,34860,13443,5844,7599,90184,89585,599,89585,69810,16332,0,N,N,N,N,1369,N,N,N,N,N,N,N,112,N,N,N,N,1962,599,N,N,N,N,90184,70409,16466,N,1543,N,1969,90184,3776,N,N,N,N,86408,68085,16332,0,1369,112,98,412,7,405,33083,65760,32035,33725,0500000US13297,"Walton County, Georgia",2016,13297
104589,52233,52356,6760,8230,8101,8294,7511,13316,13415,13586,5874,5450,8432,3585,2035,35.1,76302,70755,17116,14052,76302,37678,38624,14052,6252,7800,104589,103281,1308,103281,90028,4714,1954,N,N,N,N,1281,N,N,N,N,N,N,N,0,N,N,N,N,5304,1308,N,N,N,N,104589,90847,5256,2791,1887,N,5476,104589,35975,32700,600,129,2546,68614,61794,4399,0,1200,0,0,1221,142,1079,39622,63338,31599,31739,0500000US13313,"Whitfield County, Georgia",2016,13313
198449,98955,99494,12050,13072,10901,10440,12152,23298,23497,23725,13943,17412,23884,9077,4998,42.6,155670,150039,47914,37959,155670,76986,78684,37959,18579,19380,198449,143330,55119,143330,64714,1586,293,N,N,N,N,47415,142,1736,18815,20267,896,548,5011,26900,20263,115,1023,5499,2422,55119,644,2287,10537,0,198449,106898,3171,7693,88168,65771,4224,198449,25071,5836,12059,245,6931,173378,60002,1445,220,44514,21880,393,44924,0,44924,86780,146839,72631,74208,0500000US15001,"Hawaii County, Hawaii",2016,15001
992605,501898,490707,64210,56752,58616,53913,75048,153870,124187,122354,60453,58551,89500,47009,28142,37.5,780656,743710,200490,164651,780656,391945,388711,164651,72345,92306,992605,756603,236002,756603,209223,23269,1636,N,N,N,N,421281,3155,49582,147037,142819,22798,9871,46019,93165,47539,2179,11641,31806,8029,236002,5077,5659,53558,1250,992605,382559,42615,21335,608867,247451,21864,992605,96722,26822,31766,2057,36077,895883,183928,22024,1092,410026,86659,924,191230,2277,188953,347458,707435,364777,342658,0500000US15003,"Honolulu County, Hawaii",2016,15003
72029,35051,36978,4538,5500,4065,3905,3593,7708,9621,9039,5065,5481,8424,3515,1575,42.3,55839,53588,16937,13514,55839,27563,28276,13514,6411,7103,72029,54571,17458,54571,23326,621,563,N,N,N,N,24200,N,N,N,N,N,N,N,5678,N,N,N,N,183,17458,0,491,4577,0,72029,37820,1378,1459,37105,17377,1261,72029,7938,1583,2290,320,3745,64091,21339,498,290,23366,4753,38,13807,0,13807,30679,51820,25935,25885,0500000US15007,"Kauai County, Hawaii",2016,15007
165379,82112,83267,9924,10979,9917,9793,8246,20957,22034,22507,12381,11245,17095,6587,3714,41.1,128532,122845,34324,27396,128532,62998,65534,27396,12703,14693,165379,132306,33073,132306,60712,422,157,N,N,N,N,50531,70,1653,36160,8364,659,582,3043,18797,13788,0,228,4781,1687,33073,1274,1361,6671,74,165379,86184,2348,2828,76439,41034,2980,165379,18419,7996,5269,0,5154,146960,49954,422,116,49920,18352,497,27699,149,27550,72139,112442,55510,56932,0500000US15009,"Maui County, Hawaii",2016,15009
444028,222150,221878,26652,32173,30692,29394,27344,63825,60001,59579,26785,26253,38159,16600,6571,36.6,335696,317563,75728,61330,335696,166869,168827,61330,27976,33354,444028,430414,13614,430414,402851,6535,2026,N,N,N,N,11778,3051,3315,1157,945,837,581,1892,377,N,N,N,N,6847,13614,1591,3889,4891,67,444028,414540,8559,6576,18327,1158,8947,444028,35900,27827,196,174,7703,408128,377596,5877,1429,11069,173,110,11874,1235,10639,174805,323692,161221,162471,0500000US16001,"Ada County, Idaho",2016,16001
84377,41577,42800,6290,6012,6250,6587,5946,11944,10917,8802,4493,5811,7087,2706,1532,34.0,61867,58108,15254,11325,61867,30448,31419,11325,5331,5994,84377,81984,2393,81984,74610,280,3335,N,N,N,N,1480,N,N,N,N,N,N,N,0,N,N,N,N,2279,2393,716,751,140,130,84377,76873,1482,4559,1836,N,2537,84377,7129,N,N,N,N,77248,70969,280,2793,1387,0,206,1613,100,1513,33566,59324,29134,30190,0500000US16005,"Bannock County, Idaho",2016,16005
112232,56459,55773,9307,10456,9579,8187,6540,15911,13702,11695,5177,6666,8943,3863,2206,33.0,77453,73145,19002,15012,77453,38219,39234,15012,7003,8009,112232,109389,2843,109389,99184,0,843,N,N,N,N,1521,N,N,N,N,N,N,N,0,N,N,N,N,7841,2843,712,669,314,0,112232,101929,843,1643,2202,N,8293,112232,14350,N,N,N,N,97882,93377,0,582,1233,0,219,2471,80,2391,41652,73604,36124,37480,0500000US16019,"Bonneville County, Idaho",2016,16019
211698,104116,107582,16518,18458,16800,16642,13973,28186,26304,24114,12078,10486,17248,8034,2857,32.7,149482,140197,34757,28139,149482,72933,76549,28139,12978,15161,211698,205993,5705,205993,171868,48,2689,N,N,N,N,2978,N,N,N,N,N,N,N,835,N,N,N,N,27575,5705,830,2109,1150,0,211698,177573,898,4851,4128,1026,28980,211698,53018,48830,648,0,3540,158680,149717,48,1836,2895,835,75,3274,0,3274,73260,140081,68116,71965,0500000US16027,"Canyon County, Idaho",2016,16027
154311,76312,77999,9551,10359,9390,9530,9692,19496,18644,18689,10023,11237,16823,7949,2928,39.6,118910,112829,35985,27700,118910,57711,61199,27700,12796,14904,154311,151216,3095,151216,143862,1029,2970,N,N,N,N,1352,N,N,N,N,N,N,N,167,N,N,N,N,1836,3095,391,770,1089,0,154311,146660,1626,3857,2649,N,2049,154311,6757,N,N,N,N,147554,140104,754,2869,1352,30,0,2445,77,2368,68307,118011,57170,60841,0500000US16055,"Kootenai County, Idaho",2016,16055
83514,40607,42907,6363,6884,6385,5096,5827,11536,10201,9474,5554,3650,6821,3854,1869,34.7,60323,57886,14279,12544,60323,29139,31184,12544,5761,6783,83514,82563,951,82563,77172,677,1065,N,N,N,N,1389,N,N,N,N,N,N,N,76,N,N,N,N,2184,951,N,N,N,N,83514,78123,734,1512,1726,N,2351,83514,13275,N,N,N,N,70239,66707,677,606,1389,76,0,784,0,784,32383,55819,27526,28293,0500000US16083,"Twin Falls County, Idaho",2016,16083
66578,32707,33871,3902,4186,4455,3852,3716,7915,7818,8621,5380,3845,6868,3946,2074,42.1,51518,48974,14628,12888,51518,24801,26717,12888,5530,7358,66578,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,66578,62302,3772,N,916,N,N,66578,761,N,N,N,N,65817,N,N,N,N,N,N,N,N,N,30017,51376,24731,26645,0500000US17001,"Adams County, Illinois",2016,17001
208419,103293,105126,11535,11687,9810,21265,33757,31316,22269,20234,10580,11428,13384,6745,4409,29.9,169245,146759,31086,24538,169245,84088,85157,24538,10892,13646,208419,202291,6128,202291,151060,27686,331,N,N,N,N,21908,4511,9980,1499,287,3583,711,1337,62,N,N,N,N,1244,6128,1923,673,2169,0,208419,156904,29860,1034,24456,N,1630,208419,12063,8293,789,758,2223,196356,141738,27430,331,21908,62,286,4601,108,4493,91541,152810,74621,78189,0500000US17019,"Champaign County, Illinois",2016,17019
5203499,2526484,2677015,327051,319482,321365,318023,352707,847524,703176,670295,330689,307202,403538,206727,95720,36.5,4041780,3854920,877052,705985,4041780,1936355,2105425,705985,296243,409742,5203499,5068576,134923,5068576,2919459,1223763,14508,968,410,65,190,371491,120587,79877,63483,13704,32573,15770,45497,1939,422,397,545,575,537416,134923,29722,11504,35959,4469,5203499,3031435,1275889,37995,421366,6058,577217,5203499,1318879,1020519,142289,17641,138430,3884620,2202751,1211623,4972,367920,949,9753,86652,6049,80603,2181636,3520005,1663077,1856928,0500000US17031,"Cook County, Illinois",2016,17031
104528,52811,51717,5585,6275,6965,10085,14819,13871,12157,11197,7104,4448,6795,3357,1870,30.9,81698,71384,14782,12022,81698,40500,41198,12022,5395,6627,104528,101188,3340,101188,86721,7396,117,N,N,N,N,2439,N,N,N,N,N,N,N,0,N,N,N,N,4515,3340,1432,642,922,0,104528,90033,8897,800,3361,N,4818,104528,11577,N,N,N,N,92951,80424,7363,117,2407,0,0,2640,208,2432,41019,77972,38346,39626,0500000US17037,"DeKalb County, Illinois",2016,17037
929368,455769,473599,54531,62171,58231,61643,59862,117476,118953,133572,69279,60153,79045,35758,18694,39.0,715565,682805,167280,133497,715565,346925,368640,133497,58360,75137,929368,903905,25463,903905,714083,45918,1060,N,N,N,N,107270,48636,15548,16809,1494,4358,3849,16576,481,N,N,N,N,35093,25463,4207,3506,8326,592,929368,736194,52659,6867,118363,1389,41470,929368,132653,104334,9918,1845,16556,796715,625989,44576,510,106634,367,892,17747,1182,16565,359149,649531,313506,336025,0500000US17043,"DuPage County, Illinois",2016,17043
531715,265152,266563,34311,36417,43350,39330,34129,63224,72696,76637,31741,32787,40385,18039,8669,37.2,391896,369614,87642,67093,391896,192843,199053,67093,29909,37184,531715,519367,12348,519367,374272,29929,2405,N,N,N,N,21320,5862,1020,7308,569,2353,1003,3205,33,N,N,N,N,91408,12348,2759,1404,2303,252,531715,385139,33819,4658,24875,N,96439,531715,169096,146290,12904,515,9387,362619,304740,29386,533,21157,0,604,6199,352,5847,185938,341540,164444,177096,0500000US17089,"Kane County, Illinois",2016,17089
110008,53865,56143,6475,7185,7811,7826,8332,12822,12722,15015,8806,5856,9681,5076,2401,38.2,84094,78354,20303,17158,84094,40500,43594,17158,7529,9629,110008,108440,1568,108440,86918,17306,394,N,N,N,N,1023,N,N,N,N,N,N,N,0,N,N,N,N,2799,1568,676,53,185,0,110008,88322,18146,447,1248,N,3431,110008,11397,N,N,N,N,98611,78947,17149,394,1023,0,300,798,0,798,45172,81173,38952,42221,0500000US17091,"Kankakee County, Illinois",2016,17091
124695,61405,63290,8524,8798,12115,9699,7007,15668,20368,18092,6533,5088,7467,4138,1198,35.2,88851,83896,15454,12803,88851,42475,46376,12803,5096,7707,124695,120376,4319,120376,100133,8271,350,N,N,N,N,3882,N,N,N,N,N,N,N,0,N,N,N,N,7740,4319,N,N,N,N,124695,102632,9820,1861,4761,N,10214,124695,22385,N,N,N,N,102310,87600,8034,257,3882,0,316,2221,617,1604,41516,83286,39575,43711,0500000US17093,"Kendall County, Illinois",2016,17093
703047,351612,351435,41015,47266,52581,55598,51122,76763,88932,103722,50824,43231,55042,24800,12151,38.5,528854,495942,115332,91993,528854,262454,266400,91993,41358,50635,703047,684367,18680,684367,530524,46836,1206,N,N,N,N,52572,19728,9475,9287,1580,5910,1725,4867,310,N,N,N,N,52919,18680,5800,1776,5496,517,703047,546820,54436,4807,59467,667,56646,703047,150882,122243,8449,1886,18304,552165,437851,45119,928,52069,176,1098,14924,776,14148,262603,466002,229701,236301,0500000US17097,"Lake County, Illinois",2016,17097
110642,55778,54864,5827,7038,6129,7488,6737,13334,12321,15084,8030,8475,10881,6113,3185,42.6,87053,82304,24817,20179,87053,43983,43070,20179,8955,11224,110642,109065,1577,109065,104660,3061,102,N,N,N,N,647,N,N,N,N,N,N,N,101,N,N,N,N,494,1577,N,N,N,N,110642,106237,3919,N,1223,414,567,110642,10532,N,N,N,N,100110,94882,3019,34,647,101,13,1414,0,1414,49868,85411,43102,42309,0500000US17099,"LaSalle County, Illinois",2016,17099
307004,152689,154315,16714,20135,23245,21883,18973,33230,39115,50020,23253,20710,25270,8948,5508,39.7,232717,221647,52159,39726,232717,114663,118054,39726,18188,21538,307004,300868,6136,300868,284322,3937,253,N,N,N,N,8478,3776,1187,1360,82,623,194,1256,0,N,N,N,N,3878,6136,2296,852,2394,135,307004,290248,6682,1479,10872,N,3947,307004,39458,32221,3595,433,3209,267546,250214,3634,187,8478,0,115,4918,0,4918,117968,222589,109611,112978,0500000US17111,"McHenry County, Illinois",2016,17111
172418,84537,87881,9621,11267,9778,15260,20677,23555,20660,20910,9852,10060,11763,6040,2975,32.9,134850,120874,26504,20778,134850,65048,69802,20778,9177,11601,172418,167905,4513,167905,142803,14364,380,N,N,N,N,8635,5804,1266,575,292,218,96,384,0,N,N,N,N,1723,4513,996,953,1427,0,172418,146492,15439,1333,10821,N,2820,172418,8337,4724,1646,322,1645,164081,136617,14364,107,8635,0,1089,3269,426,2843,71757,127347,60708,66639,0500000US17113,"McLean County, Illinois",2016,17113
106550,51064,55486,6525,6650,6428,7505,6601,12046,11501,13682,7942,7594,11353,5792,2931,41.6,82926,78505,24324,20076,82926,39162,43764,20076,8699,11377,106550,98494,8056,98494,83242,13359,262,N,N,N,N,1089,N,N,N,N,N,N,N,13,N,N,N,N,529,8056,3712,2552,246,1122,106550,90106,18241,4196,1617,N,678,106550,2358,1530,316,187,325,104192,81415,13344,262,1089,13,207,7862,149,7713,50238,82258,38774,43484,0500000US17115,"Macon County, Illinois",2016,17115
265759,128886,136873,15184,15935,16591,17151,14962,36189,32369,36367,18614,19017,24030,12118,7232,40.4,207512,196898,54845,43380,207512,98791,108721,43380,18344,25036,265759,261663,4096,261663,233639,23424,299,N,N,N,N,3169,338,258,335,253,289,537,1159,0,N,N,N,N,1132,4096,1699,1015,552,188,265759,237340,25595,1648,4040,N,1427,265759,8464,N,N,N,N,257295,226645,23353,265,3135,0,135,3762,0,3762,118637,204644,97073,107571,0500000US17119,"Madison County, Illinois",2016,17119
